fid,dim,iid,rep,obj_value,set_skewness,set_quad_simp_r2,set_fd,set_lin_inter_r2,set_nbc_sd,set_nbc_cor,set_lin_simple_r2,set_quad_inter_r2,cma_skewness,cma_quad_simp_r2,cma_fd,cma_lin_inter_r2,cma_nbc_sd,cma_nbc_cor,cma_lin_simple_r2,cma_quad_inter_r2
16,3,1,8,2.9851504006544486e-05,0.2690185668863468,0.007645315135089446,0.19494368021485828,0.006578132055343959,0.10694087908546233,0.25270177737669397,0.0033028394903766604,0.019516596637514805,1.1571794019674846,-0.0013262296121503425,0.016311597257260786,0.0006528838184899355,0.35854320348194374,-0.524060403809316,0.0021200390826326965,-0.0020524378121122844
16,3,1,9,3.165402029175953e-05,0.2690185668863468,0.007645315135089446,0.19494368021485828,0.006578132055343959,0.10694087908546233,0.25270177737669397,0.0033028394903766604,0.019516596637514805,1.1511256529839746,-0.0012300390720856313,0.016122826762636783,-0.00021955125295236577,0.360034754209851,-0.5238637912209986,0.0005952064461949291,0.001381498841495743
17,3,1,7,0.025805065051737342,0.6842654329930751,0.48556290546927316,0.01730495612500529,0.6107858315846406,0.49098884249332864,0.905648440194,0.38595466415692736,0.7953572377634436,1.0097782932960069,0.45136815875907554,0.002655270026858982,0.5927887120061088,0.5743241306227903,-0.1705860493492431,0.4182326219571548,0.7311883543819842
17,3,1,8,0.023057633960499858,0.6842654329930751,0.48556290546927316,0.01730495612500529,0.6107858315846406,0.49098884249332864,0.905648440194,0.38595466415692736,0.7953572377634436,1.2201883299893155,0.48543626064495915,0.0035978127027823472,0.5973556549633441,0.5741594186733133,-0.17737945977125616,0.40387659317925817,0.7225901440963977
17,3,1,9,0.025893986374540795,0.6842654329930751,0.48556290546927316,0.01730495612500529,0.6107858315846406,0.49098884249332864,0.905648440194,0.38595466415692736,0.7953572377634436,1.011265032613462,0.4645836050827373,0.0022463720081769105,0.5636467831788251,0.5685788433955763,-0.17158818099854573,0.41701684426229,0.7316788314354641
18,3,1,7,0.02234673423565519,0.6187185556136018,0.5126608267820914,0.01845249549200522,0.6375154674451755,0.4809342992844542,0.9076880498814649,0.40443835492386926,0.8248884328452262,0.8422799095960632,0.5405109905636329,0.003203617837870086,0.564455217701265,0.5669724034372671,-0.1802748900564026,0.4650224674011887,0.7420353585699663
18,3,1,8,0.02043463557237433,0.6187185556136018,0.5126608267820914,0.01845249549200522,0.6375154674451755,0.4809342992844542,0.9076880498814649,0.40443835492386926,0.8248884328452262,0.8641557757063398,0.49879905042327777,0.003065307448074202,0.6195827625988568,0.5633195498344953,-0.1759420099932165,0.41553558438903526,0.769734709415179
18,3,1,9,0.01782665513081357,0.6187185556136018,0.5126608267820914,0.01845249549200522,0.6375154674451755,0.4809342992844542,0.9076880498814649,0.40443835492386926,0.8248884328452262,1.0740450326873756,0.5002823154447191,0.0022752474507847335,0.6222749144404585,0.5621438113383468,-0.1711963359293072,0.3954188566284129,0.77593814205784
19,3,1,7,0.002651202561245564,0.4112481520593285,0.5681841406553814,0.07438790306924112,0.3583606932076242,0.5002808611726758,0.8158440292575083,0.11015273544650765,0.9048671177382596,1.3104255397404134,0.5620305976366392,0.006464654409340504,0.3476523283428732,0.5760948711448448,-0.2149810561017559,0.11440451771925664,0.8581276337259368
19,3,1,8,0.003070555155445123,0.4112481520593285,0.5681841406553814,0.07438790306924112,0.3583606932076242,0.5002808611726758,0.8158440292575083,0.11015273544650765,0.9048671177382596,1.2183281954724572,0.5537684234480458,0.006124699205141819,0.3380505752429984,0.5766597381630828,-0.2180789985131599,0.12915197098309095,0.8656130708887142
19,3,1,9,0.01364454435826268,0.4112481520593285,0.5681841406553814,0.07438790306924112,0.3583606932076242,0.5002808611726758,0.8158440292575083,0.11015273544650765,0.9048671177382596,0.33195692481183015,0.5803854790548824,0.006896540607070625,0.29727844451104624,0.575456790976008,-0.2300710384836709,0.24458213189079125,0.7570438160594661
20,3,1,7,0.009133372902450736,0.3023566487574647,0.9151578390072803,0.020060070585962358,0.7318230384155283,0.8285090540242805,0.8866453410084413,0.6501667364066387,0.9989662444277122,0.14081635863262515,0.8161432454493387,0.003202371569293172,0.7731834689718171,0.7442272822237428,-0.1995422422083729,0.769410593236133,0.8721517284722695
20,3,1,8,0.007590946970451046,0.3023566487574647,0.9151578390072803,0.020060070585962358,0.7318230384155283,0.8285090540242805,0.8866453410084413,0.6501667364066387,0.9989662444277122,0.0905678746620699,0.8394098425903651,0.002788060531365116,0.7534175768850715,0.7566730812688046,-0.18535550936136644,0.7520841761011332,0.8850312946699058
20,3,1,9,0.0030342860653959232,0.3023566487574647,0.9151578390072803,0.020060070585962358,0.7318230384155283,0.8285090540242805,0.8866453410084413,0.6501667364066387,0.9989662444277122,0.45825648075427466,0.8876855397672361,0.0024547236122009677,0.6982421474421576,0.7580062339537637,-0.1782885761369645,0.691775947064916,0.9413332816819174
21,3,1,7,4.883372553396214e-06,0.17516726302661326,0.2169344262768456,0.3621057250828907,0.06050348674546113,0.251878573089655,0.39077998244270945,0.04824253174348574,0.32374616448410276,0.45134191309734545,0.21034374883113616,0.030163156033008464,0.054529448650240675,0.4392206509834011,-0.4495767572826332,0.044506086119908805,0.3114990749403207
21,3,1,8,4.233608417160264e-06,0.17516726302661326,0.2169344262768456,0.3621057250828907,0.06050348674546113,0.251878573089655,0.39077998244270945,0.04824253174348574,0.32374616448410276,0.46317806746035745,0.2135219919787309,0.029970027460078985,0.0539997229475343,0.43769604771625936,-0.44919726702752083,0.04240088144995602,0.31058197204331695
21,3,1,9,3.509068246642254e-06,0.17516726302661326,0.2169344262768456,0.3621057250828907,0.06050348674546113,0.251878573089655,0.39077998244270945,0.04824253174348574,0.32374616448410276,0.46832778372137396,0.21235411104635527,0.02991574626833406,0.05519319329510952,0.43813752789647065,-0.44911828387945707,0.04182078776889675,0.31094902968999716
22,3,1,7,4.5934869693732637e-07,0.011353920763058118,0.19021106730580534,0.8414899969430796,0.14203557058228888,0.31458545827129036,0.40845187861794313,0.11610516338247863,0.37044041569626607,-0.8523854104887969,0.18380171534505474,0.06983653280986694,0.13619640165661162,0.4734870536964823,-0.4397642982289587,0.1129176381654936,0.35891787836911415
22,3,1,8,8.081106339921206e-07,0.011353920763058118,0.19021106730580534,0.8414899969430796,0.14203557058228888,0.31458545827129036,0.40845187861794313,0.11610516338247863,0.37044041569626607,-0.847666647065992,0.18454591263743514,0.06970335370906539,0.13495698271556156,0.47397870037698364,-0.43914356759429657,0.11265045707389842,0.35701032254176224
22,3,1,9,3.903107956891478e-07,0.011353920763058118,0.19021106730580534,0.8414899969430796,0.14203557058228888,0.31458545827129036,0.40845187861794313,0.11610516338247863,0.37044041569626607,-0.8494284025191373,0.1848423450100113,0.06967737644473916,0.1360194285588432,0.4737535160727697,-0.4393542293477001,0.11247574040445296,0.35843768042860935
23,3,1,7,5.090409304689823e-06,0.1374887200515859,0.006641347584341457,0.4704559232461497,0.0063035829207751266,0.10044706844641495,0.04468864668283131,0.0028390665619564925,0.01752040149615617,0.17424998545592812,-0.00304770351813044,0.03940160082581928,0.0011155626311279976,0.3543684335309493,-0.6391104177783064,-0.002689940074168229,-0.002517969793041752
23,3,1,8,6.982238461457029e-06,0.1374887200515859,0.006641347584341457,0.4704559232461497,0.0063035829207751266,0.10044706844641495,0.04468864668283131,0.0028390665619564925,0.01752040149615617,0.14504621796548414,0.0031799836701535966,0.03885253463981498,-0.0031530683752130084,0.35501174492720783,-0.6378501651257137,-0.001400608041846052,-0.0026694797367057266
23,3,1,9,1.5328112432245893e-05,0.1374887200515859,0.006641347584341457,0.4704559232461497,0.0063035829207751266,0.10044706844641495,0.04468864668283131,0.0028390665619564925,0.01752040149615617,0.10682867002015935,-0.0025980664697453637,0.03900247200178873,0.00047628730675697284,0.3518816117066131,-0.6388827272919952,-0.0014137489420191773,-0.0027909012084819107
24,3,1,7,1.1464512797283153e-06,0.16946671870966096,0.6494518251513977,0.48920771561178705,0.38099030356365515,0.40575077468076015,0.4962422582732413,0.3115912407282761,0.7437123409823863,0.4351397532066691,0.6464688932199838,0.04046514556255459,0.3747572988754857,0.5246738013240628,-0.3917604451129505,0.3091508710118508,0.7382378080283705
24,3,1,8,8.043910168015254e-07,0.16946671870966096,0.6494518251513977,0.48920771561178705,0.38099030356365515,0.40575077468076015,0.4962422582732413,0.3115912407282761,0.7437123409823863,0.43978646675717875,0.6473577425001038,0.040600142459754344,0.3779931804291129,0.5243531078991842,-0.39131322745302266,0.3088473848518194,0.7377693404210851
24,3,1,9,1.9935008706446696e-06,0.16946671870966096,0.6494518251513977,0.48920771561178705,0.38099030356365515,0.40575077468076015,0.4962422582732413,0.3115912407282761,0.7437123409823863,0.42528114759624613,0.6479197553925615,0.04047212127377422,0.37608189314006846,0.5244653340990776,-0.39096845542464514,0.30847607416553013,0.7370995620320466
